ID,Pass1,Pass2,Pass3,Pass4,Pass5,Pass6,Pass7,Pass8,Pass9,Pass10
task1,pass,pass,pass,fail,pass,fail,fail,fail,pass,fail
task2,pass,fail,fail,fail,pass,fail,pass,pass,fail,pass
task3,pass,pass,pass,fail,fail,fail,fail,pass,fail,fail
task4,pass,pass,pass,pass,pass,pass,fail,pass,fail,fail
task5,pass,fail,pass,pass,pass,fail,fail,pass,fail,fail
task6,pass,pass,pass,pass,fail,fail,fail,pass,fail,pass
task7,pass,fail,pass,pass,fail,pass,fail,pass,pass,fail
task8,pass,fail,pass,fail,fail,fail,fail,fail,pass,fail
task9,fail,pass,fail,pass,fail,fail,fail,pass,fail,fail
task10,fail,fail,fail,fail,pass,pass,fail,fail,pass,pass
task11,pass,pass,pass,fail,pass,pass,pass,pass,fail,fail
task12,fail,fail,fail,fail,fail,pass,pass,pass,pass,pass
task13,pass,fail,pass,fail,fail,fail,pass,fail,fail,pass
task14,pass,pass,fail,fail,fail,fail,fail,pass,pass,fail
task15,fail,fail,fail,pass,fail,fail,fail,fail,pass,fail
task16,pass,fail,fail,fail,fail,fail,fail,pass,pass,fail
task17,fail,pass,pass,fail,pass,fail,pass,pass,pass,fail
task18,pass,pass,fail,pass,fail,fail,pass,fail,fail,pass
task19,fail,pass,pass,fail,pass,pass,fail,fail,pass,fail
